"","mean","sd"
"TOMM40",6.60748711769044,0.313735176192285
"TDP2",8.70561685528492,0.601904726065531
"NAE1",7.44260189921162,0.722100137237921
"PDGFRB",5.12414456361504,0.360453173177896
"SHFM1",6.74748458814414,0.414162734045379
"HSD17B10",8.11717714945802,0.415259824131695
"SERPINF1",5.85407387215028,0.506839325426661
"CDKN1A",8.11508628100023,0.568499267320717
"CTSH",9.86463299638793,0.589634005671156
"NDUFA1",8.7075274375536,0.467863941713239
"POLR2G",9.18843095699601,0.368246858533727
"TAP1",9.27010098523932,0.510399183805538
"MTHFD1",7.11893139656216,0.476903992527484
"ATP5J",7.89563420785219,0.538757200952598
"CSK",9.60197163261319,0.363002957092707
"UNG",5.59844135487003,0.530825772304563
"BCKDHA",7.66295883119574,0.334536690567313
"PMF1",7.43640940761837,0.338878421591876
"FABP5",5.48895038274131,0.516947533679216
"ITGAV",5.71653653196995,0.675894815576362
"MAML1",8.11380676322851,0.35857805240058
"SEC24C",7.87603762679711,0.280936565577704
"SPOCK1",3.86726501803172,0.248968328366012
"MXI1",10.5086407944597,0.652961641935562
"ACADS",5.72686743099453,0.282689620023516
"TCEAL4",5.8069187958984,0.553685948292585
"SERPINA3",4.19993979254712,0.252626809303654
"GNPDA1",7.07486761277986,0.405509612448595
"RGS2",11.8840806894173,0.594405318885115
"KLF10",7.60202880503773,0.830637538219488
"ABCF3",6.52571293913955,0.239941914429274
"IFI27",6.08497171986445,1.7916884714588
"HSPBP1",6.50442019672626,0.257917327589162
"KEAP1",6.59195199467402,0.414747782099228
"YIF1A",6.95722911342367,0.419948221505956
"MYC",8.17113148388464,0.764219699306713
"SLC35B1",7.30685510163006,0.4065232190893
"ST5",4.52318545412692,0.218773358438695
"AP3S1",8.85739987587999,0.46881816452815
"DECR1",9.08675254118637,0.345117986666764
"CTSK",5.84872927332597,0.401248508205253
"EIF2B2",6.98882179777042,0.384157331555687
"PFKFB3",7.91745468400862,0.773200654226267
"PCOLCE",4.91335722251588,0.24370326616479
"PAPD7",7.82216265316486,0.497687359005385
"CTNNAL1",5.47465898038344,0.862033345400859
"TMEM147",8.08554363624238,0.449262068231286
