"","mean","sd"
"UNG",6.63626669709643,0.545105775731947
"PMF1",7.3211073375789,0.459773656091451
"ITGAV",8.00728427615075,0.811415282933373
"MAML1",8.0634235168206,0.299636332538284
"SEC24C",7.72201828414603,0.402752450633838
"SPOCK1",5.89590799174133,0.493781447703034
"MXI1",10.6121433608472,0.411781731980045
"ACADS",6.42358266567138,0.495077265950401
"TCEAL4",7.8993825120328,0.548278959874333
"SERPINA3",5.24506015646658,1.28993959578108
"GNPDA1",7.90844345980897,0.590304537858949
"RGS2",9.70053306556833,0.752757930732704
"BASP1",9.4602417631707,0.746233339884382
"KLF10",8.39131115830188,0.633167305103886
"ABCF3",6.48539083322511,0.431723325978594
"IFI27",8.54208134090462,1.37914249098986
"HSPBP1",5.71510842546039,0.511384582501992
"KEAP1",7.44620959387689,0.425780191537932
"YIF1A",7.99233788006585,0.510196685016537
"SLC35B1",8.22671420833429,0.396097726002881
"ST5",5.21069469068852,0.446247709790344
"AP3S1",9.81147308117636,0.409355329691147
"DECR1",10.215543209243,0.414850611421286
"CTSK",6.78832758940227,0.908948944580826
"EIF2B2",8.03761581102686,0.407389610253915
"PFKFB3",8.92637053823048,0.819618222401956
"PCOLCE",5.3727200201761,0.680764690530119
"PAPD7",7.6365800629719,0.465303598330428
"CTNNAL1",7.54824259422788,0.799771643103493
"TMEM147",9.37451117582529,0.481851129618384
"DHRS3",7.85367582218084,0.700969071682964
"ATG9A",7.3297153305964,0.501817105729335
"TBCC",7.66664907957791,0.383581795986473
"EDC4",6.81097819200281,0.383679973427321
"DNAJB2",7.97993599076163,0.583228244812875
"ACADM",9.29897497174242,0.685722804247082
"CRMP1",4.33547391103588,0.379377850054925
"BCL7B",7.1458671596601,0.401338643057934
"MLH1",8.10757810395455,0.363547162946008
"CTCF",8.4254543485581,0.371679325668357
"PITPNB",8.96664165175873,0.331266939846149
"PRSS8",5.29419481948551,0.568437700589175
"FADD",7.88426032793631,0.392607424423095
"PRKCD",7.06846928223895,0.552013835473239
"VAMP8",10.6404863994577,0.550437358691428
"MCRS1",6.45099435946936,0.447609753555699
"CRABP2",4.44713373326744,0.443967331605836
"FOXM1",3.72160482867613,0.445158773834856
"BLOC1S1",8.66861106541915,0.607410046428668
"EPS8",7.15469302312917,0.565736844453162
"IRF3",6.84021697326182,0.494872391401323
"ATXN2",7.40436484394548,0.383780618647056
"EAPP",8.87778956965046,0.41997018345564
"TOPBP1",7.57806077381484,0.45521217578565
"MEN1",6.20342675586497,0.572233276835418
"APBB1",4.88000727893396,0.382717742261071
"MANF",8.73621848903158,0.484153450795634
"PEX11B",8.36368757754819,0.456978156527142
"PSMB10",8.74865440470067,0.722189705911444
"SLC39A7",6.75065980707581,0.543090237575793
"MAP2K1",8.73055258536185,0.376134480622863
"DPM1",9.12453263226127,0.519287928618115
"GTF2E2",7.41360485410857,0.39049845261607
"OXSR1",8.27576111104328,0.464688399654307
"TRIM26",7.30324458738906,0.476596635380404
"DUSP11",8.15901403430267,0.4138069013485
"HIST2H2BE",7.78172121071452,0.597814372723596
"FMOD",5.31942799333179,0.571893626069983
"BET1",7.36017599744839,0.60721548639585
"EFNB1",4.21266061318401,0.312601019973985
"IGFBP2",5.3352814876324,0.820083135747105
"LIG1",5.22569685573808,0.542152261933949
"PKIG",8.46424478532889,0.610533757590836
"TRIP10",4.84551937005845,0.432561632223317
"SLC20A2",4.91207269583377,0.470963118148993
"WRB",8.65356577941329,0.525494837298741
"RFXANK",7.56153943692715,0.528019653242313
"STIM1",6.11070519501217,0.440677812561998
"ACP2",6.98630178236968,0.503494828257564
"FOSB",4.29058465178531,1.00512404638658
"HMGCL",8.44517276383723,0.584056634913723
"DNTTIP2",8.20429236954026,0.464871066333013
"SHOC2",9.13052350200564,0.483267551361624
"STK39",7.21323793245878,0.569163112300673
"INPP1",7.26016538943669,0.429647680449582
"SACM1L",9.21111395184005,0.5176849811519
"SEC24B",8.31055265811689,0.451005724718891
"CLPP",7.6907263121659,0.511242941602403
"TOM1",6.59607445265863,0.484107879045594
"GAA",6.7734292922342,0.472454024995246
"TARBP1",6.84080846562855,0.507866835301727
"AHR",8.17818764343055,0.645544595892836
"GCC2",7.82673371276966,0.523046364558091
"AGT",6.46730911901656,0.882694136465348
"FUCA1",8.7430969312394,0.475819600356685
"PCK2",8.86813252511371,0.982191388457794
"DENND4B",8.58467918179329,0.488320881025578
"CDC20",4.25212638911099,0.591825646877912
"DDIT4",7.8287260442834,0.803727024731907
"UNC13B",6.11357106327298,0.441313293584892
"ADM",9.14274495197733,0.732688497547933
"PIN1",7.58493248518802,0.475671628103944
"SUCLA2",8.06495267001485,0.661111487420758
"ZMPSTE24",9.65038184576143,0.423396921227059
"ETFB",8.61100877942974,0.607376398445573
"FPGS",5.28693427472965,0.390656482018429
"BTBD3",6.18892217344478,0.571884089766267
"GYPC",9.99071332954719,0.527505948706044
"FHL2",6.99188243653474,0.835625741273673
"CRYZ",8.57827849452161,0.776584832624381
"C1QB",6.28796671645811,1.27601794079134
"UBE2C",5.31055035844052,0.657878616692757
"HCLS1",9.27610927512189,0.905483027941183
"KIF13B",7.49425854849538,0.519921224081935
"MPP1",9.46124720961893,0.608685971271297
"HLTF",7.27764761099464,0.684125869514605
"ARNT2",5.13980328926734,0.492401020991456
"PYGL",7.90797403988538,0.58410145816805
"STARD3",5.64130196927187,0.451351805674172
"C7",7.59252799669539,0.629018952989486
"POLD4",7.9979303519185,0.543597760054845
"AMOTL2",6.24285277973369,0.37820793100963
"STAT5A",7.37322713367797,0.440200819123257
"IMPA1",8.46984007554376,0.588478688761203
"ECD",7.45272245296348,0.341637009518576
"SLPI",8.77844979305796,1.38491838409033
"RNASEH2A",5.74994776744794,0.517706794866171
"NAA10",7.27553155332266,0.435166481905038
"ZBTB5",6.73518828314077,0.410732414947694
"MVD",4.19275830894633,0.418294659524971
"PIAS3",5.68003832029037,0.466788616618464
"HMBS",7.64287011976648,0.637501896944244
"CHSY1",8.50314286209263,0.561632640130452
"NINJ1",9.04347419575207,0.532031561449351
"BAHD1",5.92371384438625,0.38545296078258
"PDHX",7.35984969893999,0.613350153460053
