,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
ITFG2,8.406371,8.113096,8.223009,8.366819,8.332805,8.700641,8.918954
RHNO1,8.568892,8.38176,8.984185,8.63903,8.535387,8.885983,8.786362
TULP3,8.883969,9.252306,9.471543,9.482663,9.355038,9.605593,9.849535
TEAD4,7.13582,7.423783,7.839554,7.393475,7.13843,7.475514,7.500796
TSPAN9,8.806393,8.740556,8.264645,8.632385,8.60066,9.08878,8.774197
PRMT8,5.180036,5.383683,5.324361,5.269193,5.154249,5.23585,5.284819
CCND2,8.289896,8.174574,8.595653,8.589355,8.387718,9.073168,10.80228
C12orf5,6.833061,6.53257,7.642682,6.916193,6.627297,7.360944,6.728844
RAD51AP1,4.855743,4.437597,6.64507,4.955505,4.487559,5.002954,4.761327
DYRK4,5.409498,5.571522,5.742541,5.572065,5.383248,5.859074,5.915926
NDUFA9,10.00507,10.0977,10.0402,10.03881,9.95516,10.3782,10.31971
GALNT8,4.959668,5.083904,4.917446,5.117258,5.179178,4.911569,5.358848
KCNA6,5.744756,5.606145,5.450175,5.846472,5.5796,5.580576,6.031784
KCNA1,5.906085,6.425276,5.827286,6.168155,5.940884,6.050087,6.141562
KCNA5,5.891775,5.991671,5.460751,5.873235,5.51523,5.68862,5.693493
NTF3,4.957671,5.400284,4.882005,4.928417,5.116326,5.363757,5.652927
CD9,9.552543,9.48763,9.438905,9.317426,9.716949,9.557484,9.911003
PLEKHG6,5.896116,6.074762,5.952335,6.116325,5.975189,6.372754,6.216964
LTBR,8.773121,9.191799,9.224664,9.376755,8.565851,9.583967,9.2177
CD27,7.195494,6.187581,6.216839,7.732356,6.459492,7.131404,7.137231
TAPBPL,8.674003,8.800882,9.013724,9.231105,8.864057,9.429974,9.320113
NCAPD2,8.147456,8.066519,8.621176,8.125401,7.938882,8.410014,8.270061
SCARNA10,8.973198,8.962297,7.904068,8.678494,8.588416,7.865042,8.054304
GAPDH,12.90935,13.29415,13.31404,13.24302,13.08349,13.12239,13.37802
COPS7A,9.546731,9.520881,9.599532,9.570922,9.499739,10.32838,10.16687
PTMS,9.653382,9.969839,9.77473,9.778812,9.849729,10.14715,10.31013
LAG3,6.389159,6.436748,6.146859,6.29711,6.180458,6.155433,6.362969
CD4,7.594189,7.714151,7.896782,8.607729,7.72105,8.404844,7.598722
GPR162,5.969658,6.254634,6.263919,6.262554,6.114076,6.260357,6.582924
LEPREL2,6.435677,6.381281,6.445906,6.606496,6.437938,6.423454,6.785268
GNB3,6.186296,6.192072,6.046159,6.254305,6.012091,6.07386,6.764309
USP5,8.45989,8.357667,8.68028,8.489215,8.344729,8.591929,8.580229
TPI1,8.672021,8.808539,9.127893,8.910293,8.809246,9.148037,8.901562
RPL13P5,6.630898,6.71395,6.212948,6.30627,6.096002,6.179196,6.31224
DSTNP2,7.22965,7.602916,7.407016,7.192123,7.082374,7.144869,7.409239
LRRC23,7.030048,7.26291,6.721206,7.072624,7.002649,7.556008,7.528789
ENO2,6.625955,6.616154,6.837088,6.72814,6.70676,6.93988,8.009369
ATN1,8.395029,8.501863,8.663805,8.404267,8.605142,8.882485,8.992147
C12orf57,9.02518,9.563632,9.400624,9.225293,9.005655,9.853444,10.07883
PTPN6,8.108903,7.840369,8.296295,8.330621,7.944792,8.464762,8.063807
MIR200C,4.880032,4.992181,4.634439,4.784873,5.03145,4.868386,4.758531
MIR141,4.092269,4.000633,4.084118,4.126224,4.002573,3.91649,3.886518
EMG1,6.828725,6.73466,6.710968,6.812717,6.694455,7.25177,7.385069
C1S,9.870595,9.826933,9.966172,10.46365,9.751591,10.39683,10.36659
C1RL-AS1,5.921871,5.868148,5.993215,6.152593,5.722941,6.270906,5.996596
CLSTN3,8.782614,8.661595,8.705113,8.800778,8.46184,9.066042,8.468483
PEX5,8.208814,8.382142,7.977173,8.2091,8.020989,8.686345,8.034467
DPPA3,5.000789,4.788152,4.983231,4.680556,4.979302,4.856656,5.174861
NANOGNB,3.85761,3.628712,3.59342,3.949885,4.052825,3.720902,3.788984
NANOGP1,4.595235,4.742208,4.324002,4.998711,5.240222,4.811262,4.49392
FOXJ2,7.924777,8.058176,8.033234,7.900699,8.143376,8.342038,8.443898
NECAP1,8.7801,8.688936,8.758058,8.513721,8.588889,9.133149,9.0695
CLEC4A,5.405296,5.391532,5.428842,5.5893,5.531938,5.787736,5.706059
ZNF705A,2.990472,2.98254,3.204551,3.094613,3.263958,3.365572,3.124095
CLEC6A,4.905489,4.617575,4.594029,4.6592,4.870688,4.742045,4.79353
RNU6-275P,2.810381,2.971688,2.866053,2.931529,2.936002,2.860607,2.895896
CLEC4D,4.318106,4.584582,4.522865,4.743568,4.553757,4.811808,4.618352
RIMKLB,7.81534,8.584534,8.255841,8.043399,8.269003,8.091661,8.254987
A2ML1,4.922649,5.10394,4.950468,5.030365,4.916714,4.895472,5.175873
KLRG1,6.358466,6.124633,5.641207,6.989222,6.075164,6.490423,6.107224
CLEC2D,6.332363,5.512062,5.751163,6.9615,6.053058,6.326467,5.651463
KLRF1,4.452551,3.975483,3.886587,4.08175,4.446169,4.40361,3.923081
CLEC12A,4.193943,4.464832,4.426523,4.628873,4.02889,4.449301,4.240869
CLEC12B,3.649661,3.886237,3.618254,3.752415,3.849615,3.768909,3.682817
CLEC9A,5.639385,5.300898,5.079441,5.740554,5.24351,5.606602,5.407489
RN7SKP161,6.369395,6.20225,5.934648,6.220726,6.168215,5.958766,5.955055
TMEM52B,11.15913,11.55027,10.15767,10.99198,11.2192,11.33388,10.95253
GABARAPL1,10.92449,11.20805,10.71814,11.22822,11.15527,11.45235,11.12937
KLRD1,5.646222,5.280246,4.808854,5.352573,5.298888,5.274514,4.954171
PRH2,4.005727,3.896329,3.641719,3.827664,3.712532,3.790642,3.641844
ETV6,8.690787,8.574218,9.117763,8.898423,8.656192,9.089749,8.753642
BCL2L14,5.486763,5.532719,5.605785,5.85487,5.705075,5.303564,5.230668
RNU6-545P,3.481757,3.772748,3.767249,3.714778,3.767227,4.455232,3.996259
LOH12CR1,7.184504,7.064951,6.865483,7.066324,7.154572,7.504693,7.293615
CREBL2,9.795675,9.634169,9.384389,9.818057,9.521227,9.75863,9.667344
CDKN1B,8.997934,8.881557,8.831552,9.06439,8.882638,8.99276,9.064902
DDX47,8.418571,8.401131,8.68493,8.494769,8.35948,8.781055,8.89036
APOLD1,7.085399,6.628913,6.763903,6.457579,6.06725,6.347603,7.066217
RPL13AP20,10.3443,10.47492,10.68625,10.27079,9.913747,10.4174,10.34145
GPRC5A,7.356787,7.461964,8.869774,7.187478,7.313358,7.961094,7.796024
HTR7P1,6.558395,6.7803,6.599461,6.466236,6.489708,6.588082,6.725272
KIAA1467,7.966314,7.705361,7.324369,7.536088,7.974781,7.876022,7.948621
EMP1,8.86054,9.368631,9.65364,8.93875,9.478278,9.556879,9.785326
RN7SKP162,4.550345,4.604719,4.63209,4.834623,4.363503,4.409877,4.517935
ATF7IP,10.18493,10.13393,10.20232,10.42891,10.57259,10.06776,10.17088
H2AFJ,6.409191,6.702613,6.477776,6.52577,6.542488,6.527333,6.842009
C12orf60,6.052616,5.98456,5.974866,5.988027,6.271335,6.431719,6.470487
PDE6H,5.023144,4.810423,4.803954,4.761688,4.888806,4.771732,4.906937
PTPRO,8.805659,8.379591,8.404513,7.569136,7.779354,8.089553,7.579864
STRAP,9.137798,9.205876,9.381008,9.049275,8.965298,9.074854,9.130041
DERA,8.963215,8.894176,8.912894,8.591419,8.494766,8.714825,8.457832
MGST1,11.48625,11.29565,11.74901,11.34954,10.97591,11.27164,10.7089
PIK3C2G,7.693983,6.935788,6.633907,7.084361,7.121168,6.908941,6.535439
CAPZA3,3.487819,3.374034,3.3841,3.631076,3.417159,3.337466,3.143709
RPL7P6,8.41937,8.61423,8.4139,8.250333,8.236314,7.716007,7.597852
PLEKHA5,9.572786,9.420322,9.423661,9.533217,9.687859,9.767294,9.42968
RN7SL67P,6.818334,6.700559,6.603332,7.045936,7.226805,6.713847,6.674165
AEBP2,9.094345,9.066215,9.029716,9.116621,9.281553,9.216816,9.06473
RNU1-146P,3.360125,3.671742,3.540838,3.682193,3.64782,3.89315,3.695524
PDE3A,8.133874,8.600899,7.950509,8.618503,8.494454,8.456652,8.638673
RNA18S5,13.7944,13.82244,13.72116,13.76452,13.78981,13.64718,13.605
SLCO1C1,4.638632,4.602849,4.420004,4.665666,4.760462,4.792698,4.472807
SLCO1B3,3.355222,3.439117,3.609218,3.313522,3.292178,3.403714,3.541208
SLCO1B7,3.506173,3.758585,3.638062,3.702764,3.642516,3.50433,3.878516
SLCO1B1,3.7746,3.679609,3.82886,3.852932,3.948897,3.955147,3.913991
IAPP,3.229289,3.219526,3.200299,3.374697,3.42314,3.345861,3.166976
PYROXD1,8.596965,9.020873,9.287021,9.010248,8.946645,8.498343,8.689767
GOLT1B,8.131484,8.070338,8.816549,8.174734,8.180948,7.640422,7.674521
SPX,8.756754,8.655496,9.738162,8.683406,8.281405,8.501293,8.516927
CMAS,8.812145,8.787133,9.102459,8.858965,8.838068,8.644643,8.520851
ETNK1,8.720153,8.703172,8.382207,8.640921,8.799036,8.50365,7.984484
RN7SL38P,7.58879,7.642678,7.594964,7.574189,7.705431,7.244405,7.639658
LRMP,8.338476,8.479692,8.113309,8.258504,6.965674,8.594287,7.770377
LYRM5,9.791444,9.745597,9.302631,9.893962,9.826957,9.462176,9.550301
RASSF8,8.79061,8.903904,8.558854,8.72105,8.7482,8.711322,8.929655
SSPN,8.454702,8.449394,8.459039,8.852904,8.813645,8.429004,8.703262
FGFR1OP2,8.155807,8.17551,8.003416,8.231016,8.137527,8.178265,8.009286
MED21,9.796719,9.629579,9.730922,9.723191,9.523724,9.706408,9.491673
STK38L,9.47576,9.766858,9.587589,9.729899,9.841026,9.701929,10.05612
ARNTL2,5.892981,5.880216,6.981649,5.855629,5.582745,5.541233,5.630335
SMCO2,4.471805,4.347964,4.491163,4.411911,4.473867,4.539935,4.320323
PPFIBP1,8.928619,9.067849,9.985034,9.14521,8.714502,9.063159,8.711317
REP15,4.454444,4.37348,5.509278,4.627013,4.555911,4.912164,4.483645
MRPS35,9.139284,9.042342,9.111454,8.824671,8.881806,9.088495,8.87708
KLHL42,8.042549,7.884988,8.129238,7.823361,7.809215,8.054842,8.265992
CCDC91,8.863274,8.709292,8.932962,8.729162,9.061771,8.819663,8.726371
FAR2,7.580116,7.078788,7.855973,6.846375,7.161527,7.454915,7.045209
FLJ13224,6.088419,6.044746,5.940574,6.022066,6.034284,5.988205,6.207845
RNU6-618P,6.508181,6.751055,6.353677,6.64073,6.354515,6.452671,6.344383
METTL20,6.214149,6.045696,5.885332,5.85248,6.262674,5.953877,6.241821
KIAA1551,9.439556,9.118715,9.301125,9.613626,9.236518,8.919344,8.92763
BICD1,7.39189,7.447439,7.944597,7.661251,7.743178,7.337255,7.329118
FGD4,8.893841,8.868809,8.700761,8.572992,8.753789,8.758726,8.564052
DNM1L,9.55002,9.684378,9.966549,9.660295,9.782788,9.293554,9.40383
RNU6-400P,3.48341,3.352911,3.213912,3.484069,3.263515,3.290564,3.513973
C12orf40,3.659864,3.641614,3.599343,3.740821,3.736009,3.98212,3.518853
LRRK2,8.794221,8.591418,9.386625,8.77636,8.886572,8.629182,7.816838
MUC19,4.876434,4.743163,4.859574,4.80259,4.804312,4.730999,4.848808
CNTN1,7.953243,7.90438,6.988905,8.483397,8.45732,8.051215,9.349347
PDZRN4,4.654046,5.026193,4.468971,4.665463,4.907109,4.925117,5.803696
RNA5SP360,4.218465,4.58908,4.250078,4.331313,4.123258,4.493274,4.883413
PPHLN1,8.96641,8.841153,9.213178,8.899971,9.004569,9.060683,8.953516
RNU6-249P,3.614435,3.548368,3.453455,3.95891,4.195825,4.105922,3.553905
IRAK4,7.877897,7.763491,8.050843,8.021082,8.002384,8.046399,7.738488
TMEM117,7.201255,7.300793,7.522793,7.204954,7.307034,7.218985,7.901112
ANO6,10.68212,10.62788,10.59125,10.65099,10.59395,10.29163,10.11957
ARID2,8.886923,8.779043,8.900874,8.873997,9.145198,8.671658,8.595362
RN7SL246P,6.555977,6.304133,6.281676,6.7944,6.973945,6.168221,5.818889
PCED1B,5.872314,5.831099,5.762013,6.02455,5.711306,5.98381,5.88607
SLC48A1,8.789104,8.894632,10.7687,8.783287,8.806549,9.258299,9.409367
TMEM106C,9.633877,9.765837,10.10639,9.643152,9.504826,10.37101,10.55253
RNU6-1203P,2.819144,2.703991,2.968969,2.821219,2.766344,2.914678,3.027113
LOC101927180,7.828864,8.07817,7.638183,7.779071,7.814303,7.525054,7.646968
PFKM,9.039854,9.195517,9.304894,8.916118,9.104578,9.34903,9.532272
CCDC184,5.859834,5.939967,5.984675,5.892911,5.829412,5.726686,6.070817
DKFZP779L1853,6.642058,6.678729,6.236989,6.2974,6.665839,6.664297,6.320893
H1FNT,7.257878,6.955975,6.996445,6.98036,7.114241,6.82618,7.091683
ANP32D,4.366621,3.972536,3.878138,3.756057,3.978517,3.773952,3.922585
C12orf54,4.559054,4.640494,4.308974,4.452446,4.339609,4.467374,4.368692
OR8S1,5.563867,5.886208,5.446086,5.82112,5.600922,5.914855,5.9606
OR5BS1P,4.422115,4.398244,4.278708,4.408768,4.241366,4.363656,4.509528
LINC00935,3.532766,3.877047,3.281311,3.585342,3.419262,3.477039,3.660657
CACNB3,7.164494,6.995458,8.091842,6.990053,7.024156,7.527263,7.700489
CCDC65,6.406933,6.382837,6.358111,6.414651,6.161741,6.507121,6.42342
RNU6-940P,2.932692,2.732129,2.680386,2.963788,2.916834,2.812417,2.628082
WNT1,7.371253,7.259082,7.221722,7.281112,7.285525,7.16504,7.446024
TUBA1C,9.616242,9.617363,10.23153,9.6838,9.599524,9.442355,9.428792
PRPH,6.32971,6.421245,6.214234,6.17426,6.251148,6.041359,6.250798
TROAP,6.097547,6.133086,6.162791,5.909639,5.872392,5.911902,5.902993
DNAJC22,7.327829,7.288412,7.241236,7.256512,7.259871,7.68034,7.084521
SPATS2,7.947889,7.518628,8.435248,8.026614,7.823109,7.846206,7.962859
KCNH3,6.861603,6.966597,6.879126,6.786798,6.704662,6.935599,6.893549
RNU6-834P,3.833003,3.633617,3.688435,3.973632,4.251566,4.110886,3.943652
PRPF40B,6.812676,6.856643,7.088617,6.92302,7.11839,7.141403,7.347522
TMBIM6,13.16385,13.19255,12.94997,13.13033,13.17158,12.98977,12.90364
AQP2,10.15359,10.05426,9.10489,9.942704,10.31363,10.64677,10.74396
AQP5,6.533564,6.565344,6.469776,6.405049,6.56775,6.443554,6.562128
AQP6,6.517998,6.781169,6.665628,6.764194,6.491149,6.477789,6.907393
ASIC1,5.819628,6.216895,5.548872,5.412052,6.033527,6.192808,6.389362
SMARCD1,8.700667,8.799245,9.160457,8.625751,8.523064,8.965679,8.77782
GPD1,10.59275,10.48924,8.01122,10.51644,10.45969,10.85075,10.04515
COX14,8.069436,7.861208,7.543062,7.682486,7.827655,7.877484,7.592503
LARP4,10.14454,10.03042,9.745667,10.02822,9.940594,10.18012,9.706724
DIP2B,8.520626,8.446666,8.716745,8.401312,8.325498,8.550045,8.254193
RNU6-769P,2.718343,2.71563,2.754223,2.72652,2.736283,3.097509,2.762483
RNU6-238P,5.73098,5.56126,5.747969,6.008744,6.112538,5.925286,5.400986
ATF1,8.760943,8.959501,8.957309,8.906152,8.854017,9.355253,9.141756
TMPRSS12,4.75456,4.795565,4.512711,4.80078,4.712932,4.544949,4.84586
METTL7A,10.94745,11.0378,9.79541,10.84483,10.85327,10.71546,10.65693
RNU6-1273P,3.21364,2.895119,3.149501,3.270361,3.090291,3.189025,3.258485
LETMD1,9.511914,9.600886,9.270042,9.627417,9.856457,9.99518,9.872311
DAZAP2,11.65454,11.8393,11.75353,11.7692,11.6302,11.756,11.84972
SLC4A8,6.098762,6.50836,5.857047,6.415206,6.626337,6.803671,7.054007
ACVR1B,8.929029,9.247328,8.899214,9.080652,9.372578,9.12056,8.98546
ANKRD33,5.560598,5.83253,5.576712,5.700831,5.345509,5.409027,5.580478
ACVRL1,7.664854,7.721519,8.237562,7.98854,8.037918,8.427789,8.214839
GRASP,6.794624,6.71425,6.889352,6.786029,6.851503,6.905902,7.07888
NR4A1,7.159496,7.037939,6.98289,7.148101,7.004308,7.188093,7.055482
ATG101,7.061423,7.199541,7.338388,7.24131,7.080201,7.579632,7.686471
KRT7,8.77494,9.094247,9.171443,8.665013,8.888223,8.622307,8.714781
KRT86,6.726461,7.03442,6.648055,6.656714,6.801724,6.468885,6.84293
ARL2BPP2,5.812947,5.895115,6.236827,5.943885,5.420433,5.333062,5.436317
TENC1,8.425063,8.569403,8.194367,8.410613,8.509696,8.832817,9.059071
IGFBP6,7.914662,7.915098,8.170224,7.88389,8.146103,8.250955,8.317057
SOAT2,6.393426,6.58527,5.997606,6.302328,6.404571,6.779444,6.27178
HIGD1AP1,9.847547,9.783621,9.964782,9.639038,9.836843,9.404818,9.62697
ZNF740,7.614674,7.680357,7.653174,7.593495,7.615554,7.876825,7.888752
MFSD5,7.735092,7.785725,8.077177,7.541035,7.445267,8.351934,8.380772
ESPL1,6.674844,6.666123,6.725954,6.800342,6.670822,6.41365,6.631491
PFDN5,8.041598,8.078114,8.117684,8.05725,7.678649,8.349557,8.410425
C12orf10,8.853107,9.097449,9.074052,8.85416,8.909775,9.555793,9.501492
SP1,8.867613,9.0551,9.146439,8.981361,9.008487,9.176197,9.021145
AMHR2,5.831331,6.222808,5.862942,6.136915,5.923356,5.894512,6.155879
PCBP2,11.78023,11.76859,11.93816,11.62699,11.79054,11.80479,11.87874
TARBP2,7.224527,7.463694,7.367755,7.367195,6.966851,7.561388,7.699891
HOXC13,5.976627,6.001433,5.805943,5.921075,6.110312,6.010912,6.02451
HOXC12,5.956219,6.121558,5.864561,5.855183,6.002491,5.510997,6.002491
HOXC11,5.266502,5.448797,5.134623,5.402969,5.2812,5.140296,5.67742
HOXC10,7.712314,8.080381,7.551064,7.580456,7.603295,8.059186,8.100659
MIR196A2,5.112381,5.006445,5.051737,5.165459,4.795719,5.106668,5.121894
HOXC9,7.27071,7.380691,7.448857,7.427764,7.553011,7.704684,7.524504
HOXC8,6.73,6.920508,6.962789,6.810877,6.777038,6.845071,6.711935
HOXC6,7.858916,7.917735,7.6324,7.784052,7.87877,8.121519,8.026372
HOXC5,6.146849,6.103982,5.851875,6.25057,6.540247,6.663825,6.656961
COPZ1,9.991573,10.07073,10.17745,10.06438,9.882199,10.65267,10.83048
MIR148B,4.461153,4.267145,4.294836,4.541122,4.690326,4.135807,3.994385
NCKAP1L,7.063786,6.724004,7.27996,7.870332,6.571183,7.489254,6.64383
PDE1B,6.364944,6.797914,6.774197,6.462215,6.617977,6.798693,7.817614
MUCL1,5.157475,5.114335,5.045331,5.067754,5.102733,4.905141,5.077738
NEUROD4,5.179033,5.569044,5.00381,5.116278,4.949268,5.178633,4.881454
OR9K1P,5.470947,5.689256,5.359494,5.41796,5.479631,5.46662,5.449038
OR9K2,4.275564,4.26435,4.349965,4.332928,4.239257,4.232903,4.250112
OR10A7,4.749241,5.055021,4.682877,4.768244,5.057833,4.6624,4.843389
OR6C74,4.76081,4.609487,4.694268,4.716043,4.721881,5.209347,4.626722
OR6C72P,4.992315,4.713116,4.541914,4.859188,4.645394,4.671332,4.673228
OR6C1,3.824757,3.421421,3.29458,3.443628,3.497988,3.461137,3.561673
OR6C3,4.178959,4.227341,3.964508,4.080111,4.054384,4.022446,3.930199
OR6C75,4.357719,4.076785,4.043542,4.278595,4.167815,4.19135,4.069
OR6C65,4.111128,3.985222,3.934649,3.9947,4.168281,3.947606,4.187447
OR6C76,4.328762,4.582758,3.921775,4.435897,4.271244,3.877407,4.398113
OR6C2,3.331925,3.287337,3.18478,3.228722,3.170979,3.389686,3.446189
OR6C68,3.397105,3.493949,3.399587,3.479851,3.399392,3.608336,3.527913
OR2AP1,3.724524,4.019557,3.93506,3.928792,3.915593,4.076811,3.563861
OR10P1,6.010794,6.193449,5.776314,6.152016,6.227434,5.915423,5.71503
METTL7B,10.67553,10.15343,9.277632,10.16408,9.832585,10.13855,9.576801
BLOC1S1,9.239582,9.380106,9.032042,9.140741,9.133589,9.541688,9.364759
RDH5,7.997267,8.229388,7.856454,8.148209,7.766205,8.254309,8.110902
GDF11,6.549992,6.636586,6.861815,6.520181,6.62641,6.417312,6.98129
ORMDL2,9.144734,9.311536,9.73252,9.150619,8.870243,9.609213,9.710046
TMEM198B,7.69818,7.526319,7.336063,7.392592,7.379043,7.958901,8.09354
RNU1-69P,6.66915,6.819423,6.29307,6.48971,6.183448,5.272949,5.603501
DGKA,7.506245,6.859695,7.530411,7.836903,7.134202,7.524714,7.22253
CDK2,7.404373,7.686616,8.639711,7.494221,7.458663,7.767993,7.905703
RAB5B,9.466439,9.709518,9.453022,9.443194,9.502758,9.640494,9.896975
SUOX,9.205732,8.84533,8.426755,9.171229,9.2501,9.140739,8.89644
IKZF4,6.917482,7.155128,6.93382,7.019142,7.009402,7.264852,7.295805
ERBB3,9.031966,8.948977,8.73906,9.058032,8.970368,9.493116,8.78744
PA2G4,10.70492,10.77654,10.88047,10.55099,10.51142,10.65417,10.72858
ZC3H10,6.192678,6.437317,6.517859,6.41943,6.274882,6.692639,7.033183
ESYT1,8.688609,8.551745,9.750262,8.699249,8.230133,8.953014,9.201771
MYL6B,6.937355,7.204664,7.085022,7.090481,7.118466,7.282451,7.487139
MYL6,11.30244,11.51812,12.05376,11.33311,11.18858,11.56052,12.07737
NABP2,9.245013,9.022413,8.992383,9.205243,9.092463,9.556104,9.464992
SLC39A5,10.38563,10.47355,9.388658,10.58669,10.46455,11.207,10.77358
COQ10A,7.760729,8.321693,7.243294,7.650704,8.030282,8.238865,8.387344
IL23A,6.672056,6.555361,6.568189,6.610414,6.601005,6.524222,6.328602
SPRYD4,8.39049,8.407272,8.265377,8.320647,8.214081,8.837247,8.857342
RBMS2,9.069622,8.81244,9.803218,8.930742,9.181814,9.782451,9.579489
RNU6-343P,4.546908,4.336717,4.070293,3.871299,4.836362,4.563951,4.035949
HSD17B6,5.319182,4.86915,5.187782,5.661915,6.110184,6.318054,9.363718
GPR182,6.309292,6.008178,6.095032,5.911414,6.306582,6.449669,6.223037
HBCBP,6.168423,6.223848,5.967345,6.118593,6.16171,6.242067,5.875444
NAB2,7.230404,7.609063,7.634161,7.489196,7.420131,8.000447,7.770065
LRP1,8.76959,8.869925,8.652232,8.959131,9.141155,9.385185,9.341681
NXPH4,6.359705,6.615433,6.315906,6.359705,6.518245,6.350738,6.549413
SHMT2,9.77732,9.918572,9.695789,9.895113,9.616443,10.29301,9.992335
RNU6-879P,3.746923,4.066817,3.784917,3.791112,3.642333,3.938083,4.103143
INHBC,5.998702,6.123312,5.662323,6.128377,6.111974,5.687475,5.87227
INHBE,6.060686,6.346811,5.833298,6.176946,6.217678,5.967075,5.994862
GLI1,5.675506,5.717235,5.759113,5.896786,5.750771,5.519051,5.76505
MARS,8.590352,8.484702,8.922602,8.521303,8.361544,8.824689,8.869273
MBD6,8.068121,7.954877,8.2107,7.903675,7.880933,8.200726,8.341433
PIP4K2C,9.352167,9.453431,9.396752,9.26236,9.421675,9.632925,9.356648
DTX3,6.957787,7.049075,7.009197,6.845106,6.721758,7.353774,7.760401
ARHGEF25,6.476861,6.718881,6.696995,6.456882,6.684153,7.030784,7.529196
SLC26A10,5.505444,6.036025,5.772953,5.538939,5.647317,5.366527,6.049053
OS9,10.5822,10.63336,10.61224,10.71504,10.59488,10.99253,10.95675
TSPAN31,10.00975,10.04998,9.798341,9.879789,9.909989,10.51578,10.53531
MARCH9,7.766886,7.876672,7.536151,7.691988,7.356862,8.187263,7.8557
METTL21B,7.56112,8.208554,7.611365,7.82847,7.950205,7.969882,8.234521
TSFM,7.65411,7.560423,7.629172,7.768268,7.833787,7.718007,7.576417
XRCC6BP1,7.908849,8.066978,7.76379,8.134073,7.984983,8.012211,8.11393
SLC16A7,8.298992,8.810662,8.036675,8.423875,9.706322,8.994736,9.059358
LOC100996696,7.851873,7.725073,8.067944,7.784612,7.734134,7.172979,7.41643
USP15,8.561947,8.486134,8.748545,8.766773,8.603719,8.497715,8.11732
MON2,9.144171,9.051925,8.839715,9.227859,9.404787,8.97626,8.648394
MIRLET7I,7.005386,7.378474,7.016859,7.340717,7.174146,7.121039,7.276695
LDHAL6CP,5.380194,5.55763,5.66153,5.592116,5.440742,5.163651,5.578523
TMEM5,7.669012,7.742833,7.835694,7.487723,7.688489,7.858279,8.129824
SRGAP1,7.949917,8.025494,8.498503,7.985963,8.07643,8.072917,7.424857
RNU6-1009P,3.773717,3.794135,3.88301,3.665233,3.704176,3.991319,3.844957
XPOT,8.670908,8.69145,9.009957,8.709018,8.49907,8.478943,8.499175
TBK1,8.401782,8.23195,8.452849,8.364363,8.353662,8.176486,7.97629
RASSF3,6.785764,6.889277,7.410403,7.072121,7.161392,7.283793,8.702301
TBC1D30,6.1152,6.189705,6.183884,6.254628,6.527623,6.402904,6.315885
RNU6ATAC42P,3.424471,3.666596,3.441536,3.651468,3.705701,3.994597,3.604912
LEMD3,7.69695,7.603267,7.723806,7.746725,7.760917,7.747018,7.597333
MSRB3,6.970141,7.380994,7.321834,7.512611,7.349134,7.325717,8.620491
HMGA2,5.829474,5.689133,5.793547,5.834578,5.867117,5.493184,5.710722
IRAK3,6.852467,7.00949,7.442884,7.480933,6.772584,6.897805,6.359051
RN7SKP166,4.424075,4.344562,4.36245,4.255627,4.255962,4.127645,4.321411
CAND1,9.203784,9.270621,9.594982,9.307149,9.255299,9.220315,9.158231
DYRK2,8.297543,8.024404,8.440495,8.192514,8.201878,8.362454,8.243045
NUP107,7.349455,7.270422,7.743208,7.281318,7.231779,7.326468,7.240709
SLC35E3,7.841817,8.169884,8.169344,7.961449,8.059562,7.989744,8.084667
MDM2,9.843257,9.765881,10.69619,9.731945,9.549186,9.533414,9.382794
CPSF6,8.230195,8.042418,8.205427,8.389968,8.55034,8.413087,8.419564
LYZ,11.04313,10.82198,11.611,11.40356,10.23467,11.49308,9.936674
YEATS4,8.004495,7.94818,8.009471,8.063504,7.883831,7.676795,7.799334
RN7SL804P,3.999533,3.807852,3.618133,3.884574,3.788735,3.683295,3.702124
FRS2,8.755721,8.638715,8.831064,8.648962,8.854724,8.918099,9.043111
CCT2,9.292925,8.918385,9.624298,8.967476,8.808881,9.125466,8.793937
RAB3IP,9.298529,9.455729,9.32889,9.237906,9.360623,9.007355,8.514787
MYRFL,5.904872,7.40585,6.298421,5.752812,5.643767,5.980284,5.827082
CNOT2,9.682188,9.63143,10.04734,9.775964,9.888834,9.784996,9.719166
KCNMB4,8.131029,8.239897,7.985389,8.061193,8.404534,7.960714,7.930958
LGR5,4.821512,4.64836,4.66384,4.626555,5.039165,4.82098,5.82457
THAP2,6.167937,6.123784,5.724624,5.714247,5.975902,5.980401,5.982305
TMEM19,9.206905,9.444851,8.84494,9.329121,9.188801,9.225961,8.92842
RAB21,10.33142,10.24455,10.02396,10.1456,10.23953,9.867823,9.718391
TBC1D15,9.645418,9.700687,9.648121,9.617809,9.648949,9.787854,9.487453
TPH2,3.99321,4.114749,4.118396,4.22426,4.084626,4.03974,4.13005
TRHDE,8.978934,8.580603,8.25931,8.782383,8.481779,8.440741,8.112731
ATXN7L3B,8.9269,9.048277,8.582223,8.81839,8.759218,8.903668,8.769059
GLIPR1L1,4.05384,3.872684,3.995674,4.026964,4.172423,4.071124,4.139584
GLIPR1L2,4.678263,5.167924,4.714278,4.719448,5.003648,5.304831,5.301506
GLIPR1,9.330113,9.336949,10.05762,10.50857,9.361437,9.744705,10.45702
RNU6-1271P,3.196538,3.157994,3.149712,3.192624,3.310655,3.091892,3.213251
