,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
TNFSF13,8.098766,8.381007,8.083582,8.260206,7.9486,8.57959,8.600265
SENP3,7.590212,7.631506,7.704211,7.415493,7.577753,7.906365,7.875282
EIF4A1,10.26048,10.28127,11.09378,10.30345,10.13485,10.53099,10.2788
SNORA48,9.335396,9.398391,9.344111,9.082657,8.686328,9.178384,9.359323
SNORA67,7.525385,7.407989,8.10906,7.353136,7.02926,7.686469,7.701686
CD68,10.55429,10.63902,10.68799,10.70551,10.6175,10.8912,10.67614
MPDU1,10.70787,10.78226,10.72447,10.47127,10.50939,10.78064,10.79127
SHBG,6.776672,7.17625,5.985746,6.969197,7.182627,6.599763,6.717533
ATP1B2,8.225435,8.16753,6.988977,7.988298,8.566354,8.341447,8.199578
WRAP53,6.701418,6.615971,6.795868,6.546787,6.627472,6.739726,6.914019
EFNB3,5.522489,5.656802,5.79656,5.939577,5.690157,5.496725,6.011148
DNAH2,5.212084,5.290796,5.095397,5.212868,5.067943,5.168577,5.164647
KDM6B,7.554066,7.797014,7.768498,7.760631,7.729426,8.056125,7.775643
TMEM88,8.36166,8.657477,8.278241,8.379281,8.508445,9.091472,9.105367
CYB5D1,8.670798,8.643635,8.382997,8.676232,8.624457,8.793561,8.620258
CHD3,7.637553,7.824971,7.88059,7.83746,7.853833,8.194428,8.446274
CNTROB,6.183984,6.534215,6.621367,6.464665,5.994843,6.613784,6.713185
GUCY2D,6.525833,6.721915,6.366383,6.507835,6.507835,6.636605,6.63541
ALOX15B,6.437212,6.601629,6.144086,6.187045,6.282759,5.98857,6.49617
PFAS,7.2731,7.189499,7.26734,7.261789,7.345827,7.343862,7.446338
RANGRF,7.832708,7.624436,7.822334,7.279689,7.526219,7.935233,7.991342
ARHGEF15,7.325321,7.403348,7.301307,7.380179,7.42226,7.585593,7.37867
ODF4,4.749209,4.738158,4.597355,4.700291,4.719033,4.551844,4.697819
NDEL1,8.402466,8.374694,8.466493,8.619009,8.649806,8.632501,8.530734
NTN1,7.556743,7.697341,7.514862,7.59855,7.680436,7.440478,7.845947
WDR16,4.626588,4.820496,4.5819,4.710152,4.699262,4.649886,4.86897
USP43,6.57282,6.688207,6.800207,6.735506,6.619567,6.694688,6.809865
GLP2R,4.869268,4.799174,4.844114,4.755612,4.873239,4.837843,5.206927
ADPRM,5.521875,5.777883,5.921922,5.619954,5.644645,6.076721,5.873688
RN7SL601P,6.202203,6.3592,5.91763,6.417177,6.43419,5.762708,5.900227
DNAH9,5.738823,5.637849,5.437821,5.583428,5.731157,5.595604,5.656405
MAP2K4,8.867328,9.102564,9.113787,8.855924,8.932669,8.730427,8.494678
LINC00670,4.342013,4.278453,4.416129,4.318052,4.342657,4.536269,4.615772
MYOCD,5.353657,5.768438,5.512381,5.398476,5.74546,5.903568,6.692303
ARHGAP44,6.451729,6.238588,6.558024,6.457918,6.576492,6.885127,6.538054
COX10,8.251371,8.503078,8.460216,8.324582,8.320299,8.460215,8.376431
